LogID,Timestamp,SourceIP,DeviceType,LoginAttempts,DataTransferred_MB,AccessHour
100032,2026-05-01 01:40:00,10.0.0.222,IoT_Device,1,2.77,1
100033,2026-05-01 02:41:00,192.168.1.124,IoT_Device,1,4.56,2
100034,2026-05-01 01:25:00,192.168.1.187,Workstation,1,4.96,1
100035,2026-05-01 01:52:00,10.0.0.61,IoT_Device,2,0.89,1
100036,2026-05-01 02:35:00,192.168.1.124,Gateway,1,2.45,2
100037,2026-05-01 02:08:00,192.168.1.2,IoT_Device,2,0.25,2
100038,2026-05-01 02:48:00,192.168.1.118,Server,2,0.61,2
100039,2026-05-01 02:09:00,192.168.1.83,Workstation,2,1.14,2
100040,2026-05-01 02:32:00,192.168.1.130,Server,2,3.89,2
100041,2026-05-01 00:48:00,192.168.1.235,Workstation,1,4.88,0
100042,2026-05-01 01:20:00,192.168.1.237,Gateway,2,2.83,1
100043,2026-05-01 01:32:00,10.0.0.79,Gateway,2,3.25,1
100044,2026-05-01 00:58:00,192.168.1.161,Server,1,0.28,0
100045,2026-05-01 01:26:00,10.0.0.204,Workstation,2,0.18,1
100046,2026-05-01 01:04:00,192.168.1.107,IoT_Device,2,3.28,1
100047,2026-05-01 01:39:00,192.168.1.87,Workstation,1,4.85,1
100048,2026-05-01 02:50:00,192.168.1.55,IoT_Device,1,0.76,2
100049,2026-05-01 02:00:00,192.168.1.164,Gateway,1,3.01,2
100050,2026-05-01 02:04:00,192.168.1.237,Server,2,0.69,2
100051,2026-05-01 01:33:00,192.168.1.158,IoT_Device,2,1.31,1
100052,2026-05-01 01:47:00,192.168.1.128,Gateway,2,1.54,1
100053,2026-05-01 04:11:00,203.0.113.13,Server,1,4.7,4
100054,2026-05-01 03:13:00,10.0.0.106,IoT_Device,1,3.51,3
100055,2026-05-01 03:09:00,10.0.0.153,Workstation,1,1.48,3
100056,2026-05-01 01:34:00,192.168.1.218,IoT_Device,1,4.88,1
100057,2026-05-01 03:43:00,192.168.1.197,Server,2,1.61,3
100058,2026-05-01 01:35:00,10.0.0.220,Server,1,0.23,1
100059,2026-05-01 02:28:00,192.168.1.201,Workstation,1,3.59,2
100060,2026-05-01 04:57:00,10.0.0.182,Workstation,1,1.88,4
100061,2026-05-01 03:37:00,192.168.1.161,IoT_Device,2,3.86,3
100062,2026-05-01 03:20:00,192.168.1.87,Workstation,1,0.99,3
100063,2026-05-01 03:55:00,192.168.1.207,IoT_Device,1,1.23,3
100064,2026-05-01 04:39:00,192.168.1.123,Workstation,1,4.08,4
100065,2026-05-01 04:26:00,10.0.0.225,Gateway,2,4.54,4
100066,2026-05-01 02:06:00,192.168.1.246,Workstation,1,4.49,2
100067,2026-05-01 01:15:00,192.168.1.73,Workstation,1,1.63,1
100068,2026-05-01 02:33:00,192.168.1.1,Server,1,3.32,2
100069,2026-05-01 02:22:00,192.168.1.124,Gateway,1,0.77,2
100070,2026-05-01 02:09:00,203.0.113.24,Gateway,1,0.62,2
100071,2026-05-01 05:38:00,192.168.1.230,Server,2,4.07,5
100072,2026-05-01 05:24:00,10.0.0.220,Gateway,1,1.39,5
100073,2026-05-01 02:44:00,10.0.0.91,Gateway,1,0.5,2
100074,2026-05-01 04:28:00,192.168.1.157,Server,1,3.19,4
100075,2026-05-01 03:13:00,192.168.1.86,IoT_Device,14,3414.99,3
100076,2026-05-01 05:54:00,192.168.1.128,IoT_Device,1,4.95,5
100077,2026-05-01 03:38:00,10.0.0.87,IoT_Device,24,4000.29,3
100078,2026-05-01 02:40:00,192.168.1.157,IoT_Device,1,2.51,2
100079,2026-05-01 02:36:00,192.168.1.54,Gateway,2,1.13,2
100080,2026-05-01 04:19:00,192.168.1.145,Gateway,1,4.14,4
100081,2026-05-01 02:46:00,192.168.1.60,IoT_Device,1,2.08,2
100082,2026-05-01 04:33:00,192.168.1.161,Gateway,2,1.42,4
100083,2026-05-01 06:21:00,10.0.0.205,Server,1,3.56,6
100084,2026-05-01 03:38:00,10.0.0.174,Workstation,2,0.11,3
100085,2026-05-01 02:39:00,192.168.1.203,IoT_Device,1,3.76,2
100086,2026-05-01 07:09:00,203.0.113.34,IoT_Device,1,4.09,7
100087,2026-05-01 04:24:00,203.0.113.14,Gateway,1,0.75,4
100088,2026-05-01 02:00:00,10.0.0.17,Workstation,15,3479.52,2
100089,2026-05-01 01:45:00,203.0.113.3,Workstation,2,0.75,1
100090,2026-05-01 02:09:00,192.168.1.106,IoT_Device,1,2.92,2
100091,2026-05-01 05:19:00,192.168.1.124,IoT_Device,1,4.17,5
100092,2026-05-01 06:23:00,192.168.1.138,Gateway,11,1865.43,6
100093,2026-05-01 04:10:00,192.168.1.141,IoT_Device,1,3.65,4
100094,2026-05-01 01:57:00,10.0.0.79,Gateway,2,1.69,1
100095,2026-05-01 04:00:00,192.168.1.7,Server,2,2.27,4
100096,2026-05-01 07:58:00,10.0.0.8,Server,1,1.11,7
100097,2026-05-01 05:02:00,10.0.0.128,Server,1,2.5,5
100098,2026-05-01 07:58:00,192.168.1.86,Server,2,0.34,7
100099,2026-05-01 07:19:00,192.168.1.204,Server,22,1134.42,7
100100,2026-05-01 01:44:00,10.0.0.8,IoT_Device,1,3.77,1
100101,2026-05-01 06:32:00,192.168.1.31,Server,1,2.13,6
100102,2026-05-01 06:20:00,10.0.0.39,IoT_Device,1,1.49,6
100103,2026-05-01 05:24:00,192.168.1.124,Server,1,2.42,5
100104,2026-05-01 03:34:00,10.0.0.8,IoT_Device,1,2.97,3
100105,2026-05-01 06:14:00,10.0.0.87,Server,1,2.3,6
100106,2026-05-01 02:33:00,192.168.1.186,Gateway,2,4.21,2
100107,2026-05-01 04:53:00,192.168.1.88,IoT_Device,2,0.89,4
100108,2026-05-01 05:04:00,192.168.1.207,Workstation,1,0.18,5
100109,2026-05-01 08:44:00,203.0.113.3,Workstation,1,32.44,8
100110,2026-05-01 08:15:00,192.168.1.50,IoT_Device,2,11.33,8
100111,2026-05-01 03:47:00,192.168.1.191,IoT_Device,1,0.64,3
100112,2026-05-01 05:36:00,10.0.0.174,Server,2,3.48,5
100113,2026-05-01 03:13:00,192.168.1.18,Workstation,2,3.76,3
100114,2026-05-01 08:50:00,192.168.1.222,IoT_Device,1,3.62,8
100115,2026-05-01 08:35:00,192.168.1.229,Server,1,12.44,8
100116,2026-05-01 04:14:00,10.0.0.39,Gateway,1,3.81,4
100117,2026-05-01 06:56:00,10.0.0.137,IoT_Device,1,3.17,6
100118,2026-05-01 06:45:00,192.168.1.128,IoT_Device,1,0.83,6
100119,2026-05-01 03:11:00,192.168.1.251,IoT_Device,25,2178.9,3
100120,2026-05-01 08:06:00,10.0.0.252,Server,2,0.57,8
100121,2026-05-01 06:22:00,192.168.1.205,Gateway,1,3.69,6
100122,2026-05-01 08:21:00,192.168.1.201,Workstation,3,38.33,8
100123,2026-05-01 06:23:00,10.0.0.97,Gateway,2,2.97,6
100124,2026-05-01 02:04:00,10.0.0.216,Gateway,2,0.57,2
100125,2026-05-01 04:47:00,192.168.1.73,Gateway,1,4.46,4
100126,2026-05-01 02:15:00,192.168.1.123,Gateway,2,1.85,2
100127,2026-05-01 09:58:00,192.168.1.201,IoT_Device,1,26.86,9
100128,2026-05-01 09:37:00,203.0.113.12,Workstation,2,11.77,9
100129,2026-05-01 09:18:00,10.0.0.61,Server,3,1.31,9
100130,2026-05-01 04:49:00,192.168.1.12,IoT_Device,1,1.23,4
100131,2026-05-01 02:41:00,10.0.0.48,Server,1,2.39,2
100132,2026-05-01 09:55:00,192.168.1.218,Server,3,49.8,9
100133,2026-05-01 10:36:00,10.0.0.138,Server,1,5.58,10
100134,2026-05-01 02:59:00,192.168.1.54,Workstation,2,3.62,2
100135,2026-05-01 06:37:00,192.168.1.229,Gateway,1,1.17,6
100136,2026-05-01 02:53:00,10.0.0.70,Gateway,2,0.16,2
100137,2026-05-01 09:13:00,192.168.1.1,Gateway,3,20.75,9
100138,2026-05-01 09:20:00,192.168.1.166,Workstation,2,32.33,9
100139,2026-05-01 03:30:00,10.0.0.79,IoT_Device,1,0.56,3
100140,2026-05-01 06:46:00,10.0.0.216,Workstation,1,0.56,6
100141,2026-05-01 07:31:00,10.0.0.143,IoT_Device,1,0.32,7
100142,2026-05-01 04:52:00,203.0.113.14,Workstation,1,3.32,4
100143,2026-05-01 10:42:00,10.0.0.54,IoT_Device,3,36.57,10
100144,2026-05-01 06:27:00,192.168.1.158,Server,2,4.1,6
100145,2026-05-01 04:27:00,203.0.113.50,IoT_Device,2,4.45,4
100146,2026-05-01 07:40:00,192.168.1.246,Workstation,1,4.63,7
100147,2026-05-01 09:36:00,10.0.0.182,IoT_Device,2,0.5,9
100148,2026-05-01 04:27:00,192.168.1.164,Workstation,2,3.79,4
100149,2026-05-01 05:34:00,10.0.0.161,IoT_Device,1,0.23,5
100150,2026-05-01 12:27:00,192.168.1.145,Gateway,1,49.04,12
100151,2026-05-01 09:03:00,192.168.1.251,Workstation,3,1.56,9
100152,2026-05-01 06:58:00,192.168.1.86,IoT_Device,1,4.13,6
100153,2026-05-01 07:49:00,192.168.1.2,Workstation,1,3.69,7
100154,2026-05-01 03:48:00,203.0.113.14,Server,1,1.07,3
100155,2026-05-01 04:54:00,10.0.0.235,Workstation,1,3.34,4
100156,2026-05-01 06:06:00,10.0.0.228,Server,1,0.25,6
100157,2026-05-01 08:46:00,10.0.0.128,IoT_Device,3,45.66,8
100158,2026-05-01 05:03:00,192.168.1.86,Gateway,2,4.19,5
100159,2026-05-01 04:59:00,10.0.0.81,Workstation,1,4.18,4
100160,2026-05-01 03:25:00,192.168.1.146,Gateway,2,0.14,3
100161,2026-05-01 09:27:00,192.168.1.66,Workstation,2,2.24,9
100162,2026-05-01 05:10:00,192.168.1.31,Server,2,0.63,5
100163,2026-05-01 12:33:00,10.0.0.225,Server,1,10.98,12
100164,2026-05-01 12:07:00,10.0.0.137,Server,1,21.05,12
100165,2026-05-01 03:31:00,192.168.1.158,IoT_Device,1,1.4,3
100166,2026-05-01 05:24:00,203.0.113.14,Server,2,4.44,5
100167,2026-05-01 10:13:00,203.0.113.34,Workstation,1,41.52,10
100168,2026-05-01 05:11:00,10.0.0.216,Server,1,4.77,5
100169,2026-05-01 04:18:00,192.168.1.229,Server,2,1.47,4
100170,2026-05-01 13:26:00,10.0.0.70,IoT_Device,2,30.51,13
100171,2026-05-01 09:21:00,192.168.1.31,Server,3,40.02,9
100172,2026-05-01 08:17:00,10.0.0.91,Workstation,1,10.22,8
100173,2026-05-01 11:55:00,192.168.1.203,IoT_Device,2,19.09,11
100174,2026-05-01 12:16:00,192.168.1.35,Gateway,3,23.51,12
100175,2026-05-01 05:08:00,10.0.0.138,Workstation,1,4.0,5
100176,2026-05-01 04:04:00,192.168.1.50,Workstation,1,1.23,4
100177,2026-05-01 08:02:00,203.0.113.20,Workstation,3,26.91,8
100178,2026-05-01 07:59:00,192.168.1.54,Gateway,2,2.03,7
100179,2026-05-01 08:33:00,203.0.113.34,Workstation,3,29.24,8
100180,2026-05-01 11:44:00,192.168.1.77,Workstation,3,40.93,11
100181,2026-05-01 11:08:00,192.168.1.229,IoT_Device,1,26.14,11
100182,2026-05-01 14:58:00,10.0.0.43,Gateway,3,43.85,14
100183,2026-05-01 04:15:00,192.168.1.75,Server,1,4.55,4
100184,2026-05-01 08:00:00,192.168.1.204,Gateway,3,42.99,8
100185,2026-05-01 07:16:00,192.168.1.176,Server,1,1.28,7
100186,2026-05-01 13:47:00,192.168.1.144,Workstation,3,4.64,13
100187,2026-05-01 06:12:00,10.0.0.96,Server,1,1.37,6
100188,2026-05-01 05:31:00,192.168.1.34,Server,1,4.16,5
100189,2026-05-01 08:48:00,192.168.1.164,Server,1,21.67,8
100190,2026-05-01 08:30:00,192.168.1.55,IoT_Device,1,7.42,8
100191,2026-05-01 06:43:00,10.0.0.249,Server,1,2.64,6
100192,2026-05-01 06:23:00,10.0.0.79,Server,1,2.17,6
100193,2026-05-01 15:05:00,192.168.1.122,Workstation,3,27.56,15
100194,2026-05-01 08:57:00,192.168.1.186,Gateway,3,38.13,8
100195,2026-05-01 14:26:00,203.0.113.3,Gateway,2,8.65,14
100196,2026-05-01 10:27:00,10.0.0.61,Workstation,2,49.64,10
100197,2026-05-01 03:56:00,10.0.0.17,Server,1,3.85,3
100198,2026-05-01 16:29:00,192.168.1.141,Server,1,38.88,16
100199,2026-05-01 14:24:00,192.168.1.197,IoT_Device,3,1.7,14
100200,2026-05-01 16:15:00,192.168.1.161,Gateway,3,2.0,16
100201,2026-05-01 15:45:00,192.168.1.10,Workstation,2,8.66,15
100202,2026-05-01 14:47:00,10.0.0.128,IoT_Device,3,40.49,14
100203,2026-05-01 05:38:00,192.168.1.166,Server,1,3.47,5
100204,2026-05-01 10:00:00,10.0.0.228,IoT_Device,2,47.68,10
100205,2026-05-01 06:20:00,192.168.1.119,Server,2,0.38,6
100206,2026-05-01 08:56:00,192.168.1.161,IoT_Device,3,37.55,8
100207,2026-05-01 04:15:00,10.0.0.116,Server,1,4.94,4
100208,2026-05-01 08:43:00,192.168.1.145,IoT_Device,2,19.26,8
100209,2026-05-01 17:12:00,203.0.113.24,Server,1,39.84,17
100210,2026-05-01 07:12:00,10.0.0.48,Workstation,2,3.79,7
100211,2026-05-01 14:32:00,10.0.0.138,IoT_Device,2,8.38,14
100212,2026-05-01 09:57:00,192.168.1.12,IoT_Device,3,40.73,9
100213,2026-05-01 09:33:00,192.168.1.205,Gateway,3,33.57,9
100214,2026-05-01 17:13:00,192.168.1.75,IoT_Device,3,24.1,17
100215,2026-05-01 17:51:00,192.168.1.15,Workstation,2,26.35,17
100216,2026-05-01 11:36:00,10.0.0.182,Workstation,1,7.95,11
100217,2026-05-01 14:00:00,192.168.1.60,Gateway,2,25.32,14
100218,2026-05-01 05:52:00,192.168.1.34,Server,2,1.96,5
100219,2026-05-01 07:58:00,10.0.0.106,Workstation,21,2369.25,7
100220,2026-05-01 17:52:00,192.168.1.106,Server,1,30.16,17
100221,2026-05-01 12:12:00,192.168.1.205,Server,1,33.27,12
100222,2026-05-01 11:43:00,192.168.1.123,Gateway,1,19.21,11
100223,2026-05-01 14:50:00,192.168.1.128,Gateway,3,17.4,14
100224,2026-05-01 04:35:00,192.168.1.146,IoT_Device,2,2.7,4
100225,2026-05-01 12:30:00,10.0.0.235,Server,2,19.2,12
100226,2026-05-01 11:20:00,203.0.113.14,Workstation,1,12.17,11
100227,2026-05-01 16:41:00,10.0.0.174,Gateway,1,39.99,16
100228,2026-05-01 06:11:00,192.168.1.161,Server,2,1.91,6
100229,2026-05-01 18:29:00,192.168.1.77,Workstation,1,18.63,18
100230,2026-05-01 05:03:00,10.0.0.138,Server,2,3.68,5
100231,2026-05-01 06:42:00,192.168.1.77,Server,1,3.16,6
100232,2026-05-01 13:04:00,10.0.0.228,Workstation,1,20.63,13
100233,2026-05-01 14:22:00,10.0.0.81,Workstation,1,20.8,14
100234,2026-05-01 07:34:00,192.168.1.30,Gateway,2,3.13,7
100235,2026-05-01 05:47:00,192.168.1.66,Server,1,3.88,5
100236,2026-05-01 17:56:00,10.0.0.252,Workstation,3,47.68,17
100237,2026-05-01 07:50:00,192.168.1.144,Server,1,0.72,7
100238,2026-05-01 13:23:00,192.168.1.77,Gateway,1,13.76,13
100239,2026-05-01 13:51:00,10.0.0.70,Workstation,1,46.44,13
100240,2026-05-01 10:42:00,192.168.1.145,Workstation,2,13.01,10
100241,2026-05-01 13:23:00,192.168.1.238,Server,3,6.65,13
100242,2026-05-01 12:28:00,10.0.0.148,Workstation,3,45.8,12
100243,2026-05-01 19:11:00,192.168.1.3,Gateway,2,3.17,19
100244,2026-05-01 07:23:00,192.168.1.235,Gateway,1,2.78,7
100245,2026-05-01 15:46:00,192.168.1.12,IoT_Device,2,25.17,15
100246,2026-05-01 08:00:00,192.168.1.90,Workstation,1,26.03,8
100247,2026-05-01 10:38:00,192.168.1.145,Server,2,36.05,10
100248,2026-05-01 15:14:00,192.168.1.1,Gateway,1,26.65,15
100249,2026-05-01 09:07:00,192.168.1.134,Gateway,1,20.29,9
100250,2026-05-01 09:26:00,192.168.1.207,IoT_Device,1,8.17,9
100251,2026-05-01 16:45:00,10.0.0.137,IoT_Device,1,7.5,16
100252,2026-05-01 05:25:00,10.0.0.228,IoT_Device,2,3.66,5
100253,2026-05-01 11:56:00,192.168.1.90,IoT_Device,3,28.79,11
100254,2026-05-01 21:08:00,192.168.1.120,Workstation,2,2.1,21
100255,2026-05-01 21:11:00,192.168.1.144,Gateway,1,4.41,21
100256,2026-05-01 05:31:00,10.0.0.148,Workstation,1,1.9,5
100257,2026-05-01 07:56:00,10.0.0.39,Workstation,2,1.15,7
100258,2026-05-01 08:51:00,203.0.113.12,Gateway,2,48.06,8
100259,2026-05-01 20:25:00,10.0.0.85,IoT_Device,2,4.38,20
100260,2026-05-01 19:36:00,203.0.113.13,Server,2,4.73,19
100261,2026-05-01 19:38:00,192.168.1.18,Gateway,1,1.84,19
100262,2026-05-01 10:49:00,10.0.0.39,Workstation,2,38.0,10
100263,2026-05-01 07:08:00,10.0.0.48,Workstation,1,1.01,7
100264,2026-05-01 19:04:00,10.0.0.85,IoT_Device,2,1.77,19
100265,2026-05-01 16:50:00,10.0.0.9,IoT_Device,3,9.75,16
100266,2026-05-01 15:16:00,10.0.0.249,IoT_Device,1,47.98,15
100267,2026-05-01 22:01:00,192.168.1.145,IoT_Device,1,3.38,22
100268,2026-05-01 16:09:00,192.168.1.209,Gateway,2,19.17,16
100269,2026-05-01 04:37:00,192.168.1.88,Gateway,2,4.33,4
100270,2026-05-01 19:12:00,192.168.1.79,Server,1,3.88,19
100271,2026-05-01 09:55:00,10.0.0.85,IoT_Device,3,5.89,9
100272,2026-05-01 16:33:00,203.0.113.12,IoT_Device,1,28.03,16
100273,2026-05-01 21:38:00,192.168.1.158,Workstation,1,4.17,21
100274,2026-05-01 07:01:00,10.0.0.61,Gateway,1,2.38,7
100275,2026-05-01 06:41:00,10.0.0.147,Gateway,1,3.4,6
100276,2026-05-01 06:34:00,192.168.1.146,Server,2,3.47,6
100277,2026-05-01 14:49:00,10.0.0.156,IoT_Device,1,49.66,14
100278,2026-05-01 09:40:00,192.168.1.214,Workstation,2,12.32,9
100279,2026-05-01 15:53:00,10.0.0.54,Server,1,10.84,15
100280,2026-05-01 18:03:00,10.0.0.81,Gateway,2,10.12,18
100281,2026-05-01 08:29:00,10.0.0.61,IoT_Device,3,13.26,8
100282,2026-05-01 16:37:00,192.168.1.191,Gateway,2,44.23,16
100283,2026-05-01 09:41:00,192.168.1.127,Gateway,1,20.04,9
100284,2026-05-01 13:58:00,192.168.1.207,IoT_Device,1,40.43,13
100285,2026-05-01 21:57:00,10.0.0.128,Server,1,0.56,21
100286,2026-05-01 20:53:00,10.0.0.161,Server,2,3.63,20
100287,2026-05-01 06:32:00,192.168.1.15,Workstation,1,3.07,6
100288,2026-05-01 12:55:00,192.168.1.205,Gateway,1,12.43,12
100289,2026-05-01 10:08:00,10.0.0.96,IoT_Device,1,31.73,10
100290,2026-05-01 04:54:00,10.0.0.161,Workstation,1,0.76,4
100291,2026-05-01 19:48:00,192.168.1.7,Gateway,1,0.29,19
100292,2026-05-01 17:16:00,192.168.1.207,Workstation,2,42.81,17
100293,2026-05-01 10:00:00,10.0.0.201,Server,3,4.3,10
100294,2026-05-01 19:25:00,192.168.1.173,Workstation,2,3.82,19
100295,2026-05-01 15:45:00,10.0.0.8,Gateway,2,49.58,15
100296,2026-05-01 13:22:00,10.0.0.30,Gateway,1,23.35,13
100297,2026-05-01 05:08:00,192.168.1.7,Workstation,2,3.92,5
100298,2026-05-01 06:27:00,10.0.0.222,Gateway,1,0.15,6
100299,2026-05-01 22:35:00,203.0.113.24,Server,1,4.99,22
100300,2026-05-01 23:04:00,192.168.1.161,Server,11,1838.35,23
100301,2026-05-01 15:57:00,192.168.1.246,Gateway,2,6.04,15
100302,2026-05-01 21:50:00,10.0.0.87,Server,1,1.3,21
100303,2026-05-01 16:49:00,192.168.1.31,Gateway,2,17.03,16
100304,2026-05-01 08:04:00,10.0.0.220,Workstation,3,35.29,8
100305,2026-05-01 07:40:00,10.0.0.96,IoT_Device,2,4.13,7
100306,2026-05-01 11:23:00,192.168.1.124,Gateway,3,6.43,11
100307,2026-05-01 23:30:00,203.0.113.24,Workstation,2,4.59,23
100308,2026-05-01 21:28:00,192.168.1.60,Server,1,2.02,21
100309,2026-05-01 22:52:00,192.168.1.86,IoT_Device,2,0.76,22
100310,2026-05-01 23:44:00,10.0.0.79,Gateway,2,3.06,23
100311,2026-05-01 09:32:00,192.168.1.145,Workstation,1,43.61,9
100312,2026-05-01 10:23:00,10.0.0.87,Workstation,3,38.71,10
100313,2026-05-01 07:21:00,10.0.0.39,Server,2,1.21,7
100314,2026-05-01 21:33:00,10.0.0.153,Gateway,2,1.78,21
100315,2026-05-01 23:49:00,10.0.0.87,Server,12,3526.08,23
100316,2026-05-01 13:49:00,10.0.0.225,IoT_Device,2,10.14,13
100317,2026-05-01 18:23:00,192.168.1.222,IoT_Device,3,8.31,18
100318,2026-05-01 08:34:00,10.0.0.176,Gateway,1,30.53,8
100319,2026-05-02 01:05:00,192.168.1.209,Gateway,1,1.28,1
100320,2026-05-01 23:46:00,192.168.1.205,Workstation,2,2.15,23
100321,2026-05-02 02:14:00,192.168.1.122,Workstation,1,3.51,2
100322,2026-05-01 22:46:00,192.168.1.177,Server,2,0.74,22
100323,2026-05-02 00:21:00,192.168.1.207,IoT_Device,1,4.16,0
100324,2026-05-01 05:56:00,203.0.113.34,IoT_Device,2,1.26,5
100325,2026-05-01 21:22:00,192.168.1.166,Server,2,2.23,21
100326,2026-05-01 12:39:00,10.0.0.23,Gateway,3,2.79,12
100327,2026-05-02 01:44:00,192.168.1.50,IoT_Device,1,3.76,1
100328,2026-05-01 23:00:00,192.168.1.75,Server,1,4.7,23
100329,2026-05-02 00:26:00,10.0.0.252,Server,1,2.65,0
100330,2026-05-01 23:20:00,10.0.0.96,IoT_Device,2,2.05,23
100331,2026-05-01 11:24:00,192.168.1.73,Workstation,3,4.87,11
100332,2026-05-01 22:57:00,10.0.0.225,Gateway,1,1.99,22
100333,2026-05-01 07:56:00,192.168.1.60,IoT_Device,1,1.67,7
100334,2026-05-02 00:59:00,192.168.1.122,Workstation,1,4.77,0
100335,2026-05-02 00:45:00,203.0.113.13,Server,2,4.5,0
100336,2026-05-01 10:34:00,192.168.1.162,Gateway,2,3.08,10
100337,2026-05-01 23:57:00,192.168.1.235,Server,1,2.24,23
100338,2026-05-01 16:00:00,10.0.0.137,Server,1,24.53,16
100339,2026-05-01 12:32:00,192.168.1.120,IoT_Device,2,21.51,12
100340,2026-05-01 23:41:00,192.168.1.12,Gateway,1,3.14,23
100341,2026-05-01 10:51:00,10.0.0.100,Workstation,3,41.65,10
100342,2026-05-01 06:14:00,192.168.1.31,IoT_Device,1,0.67,6
100343,2026-05-01 10:07:00,192.168.1.173,Server,2,44.87,10
100344,2026-05-01 13:15:00,192.168.1.214,Server,1,39.79,13
100345,2026-05-02 01:37:00,192.168.1.86,Gateway,1,1.78,1
100346,2026-05-02 04:04:00,203.0.113.3,Server,1,2.1,4
100347,2026-05-01 12:14:00,192.168.1.173,Server,1,12.07,12
100348,2026-05-01 20:40:00,192.168.1.237,IoT_Device,1,0.36,20
100349,2026-05-01 15:06:00,192.168.1.45,Server,3,18.84,15
100350,2026-05-02 04:43:00,192.168.1.128,IoT_Device,1,3.07,4
100351,2026-05-01 18:23:00,192.168.1.205,Gateway,1,25.62,18
100352,2026-05-02 03:54:00,203.0.113.12,Gateway,1,4.04,3
100353,2026-05-01 08:35:00,192.168.1.66,Gateway,2,28.92,8
100354,2026-05-02 04:48:00,203.0.113.14,Gateway,2,4.96,4
100355,2026-05-01 10:08:00,192.168.1.55,IoT_Device,3,40.46,10
100356,2026-05-02 04:46:00,10.0.0.17,Server,2,3.86,4
100357,2026-05-01 12:16:00,192.168.1.15,Gateway,3,40.5,12
100358,2026-05-01 08:33:00,192.168.1.66,IoT_Device,3,15.17,8
100359,2026-05-01 16:23:00,192.168.1.50,Server,3,32.27,16
100360,2026-05-01 23:29:00,192.168.1.146,IoT_Device,2,0.54,23
100361,2026-05-01 13:33:00,10.0.0.137,Gateway,3,15.13,13
100362,2026-05-01 20:39:00,192.168.1.18,IoT_Device,2,2.94,20
100363,2026-05-01 18:25:00,10.0.0.193,IoT_Device,3,47.62,18
100364,2026-05-01 15:24:00,192.168.1.127,Server,1,7.77,15
100365,2026-05-01 20:06:00,192.168.1.86,Gateway,2,0.2,20
100366,2026-05-01 12:18:00,192.168.1.120,Server,3,44.42,12
100367,2026-05-01 23:27:00,192.168.1.164,Server,1,4.77,23
100368,2026-05-01 06:10:00,203.0.113.34,Workstation,1,1.01,6
100369,2026-05-02 04:55:00,192.168.1.3,Server,1,1.54,4
100370,2026-05-01 19:26:00,10.0.0.43,Server,2,2.08,19
100371,2026-05-01 23:58:00,10.0.0.54,Workstation,1,2.1,23
100372,2026-05-02 00:36:00,192.168.1.145,Server,2,0.86,0
100373,2026-05-01 22:53:00,192.168.1.146,Gateway,2,3.84,22
100374,2026-05-01 15:18:00,10.0.0.204,IoT_Device,1,32.28,15
